Filename,Name,FullName,Neuroticism,Extraversion,Agreeableness,Conscientiousness,Openness,job,Cluster_KM_3,Cluster_HA,Cluster_HA_6,Cluster_DBSCAN,Cluster_GMM,Cluster_SC
62_배현진(정치).png,배현진,Bae Hyun-jin,0.002,0.012,0.238,0.0,0.008,politician,0,2,3,0,3,0
33_CJ이재현(기업인).png,이재현,Lee Jae-hyun,0.001,0.0,0.019,0.0,0.004,entrepreneur,0,2,3,0,3,0
55_박보검(배우).png,박보검,Park Bo-gum,0.0,0.003,0.614,0.0,0.044,actor/actress,0,2,4,-1,3,2
72_신민아(배우).png,신민아,Shin Min-a,0.0,0.0,0.57,0.0,0.002,actor/actress,0,2,4,0,3,2
40_김상욱(교수).png,김상욱,Kim Sang-wook,0.277,0.065,0.93,0.001,0.062,professor,0,3,6,-1,0,1
109_정재승(교수).png,정재승,Jeong Jae-seung,0.015,0.001,0.351,0.001,0.002,professor,0,2,4,0,0,3
98_이수지(개그우먼).png,이수지,Lee Soo-ji,0.004,0.011,0.033,0.0,0.242,comedian,2,3,5,-1,1,0
86_오나미(개그우먼).png,오나미,Oh Na-mi,0.002,0.009,0.374,0.0,0.012,comedian,0,2,4,0,3,3
73_신봉선(개그우먼).png,신봉선,Shin Bong-sun,0.0,0.001,0.034,0.0,0.01,comedian,0,2,3,0,3,0
39_김민경(개그우먼).png,김민경,Kim Min-kyung,0.0,0.001,0.951,0.0,0.006,comedian,0,2,4,0,3,1
94_이국주(개그우먼).png,이국주,Lee Guk-joo,0.024,0.001,0.478,0.001,0.017,comedian,0,2,4,0,0,3
113_조수연(개그우먼).png,조수연,Jo Su-yeon,0.553,0.0,0.162,0.0,0.016,comedian,0,3,6,-1,0,1
25_김소현1.jpeg,김소현1,Kim So-hyun 1,0.002,0.001,0.155,0.0,0.005,student,0,2,3,0,3,0
26_김소현2.jpeg,김소현2,Kim So-hyun 2,0.002,0.0,0.178,0.0,0.024,student,0,2,3,0,3,0
